run,fold,accuracy,precision,recall,AP
1,0,0.6470588235294118,0.5970149253731343,0.9302325581395349,0.5680484760722528
1,1,0.5280898876404494,0.5340909090909091,0.9791666666666666,0.6184475673657214
1,2,0.8222222222222222,0.7931034482758621,0.92,0.8797180489022101
1,3,0.7741935483870968,0.7384615384615385,0.9230769230769231,0.9245564111750642
1,4,0.7211538461538461,0.6853932584269663,0.9838709677419355,0.7861384229507911

run,fold,accuracy,precision,recall,AP
2,0,0.6352941176470588,0.5882352941176471,0.9302325581395349,0.6507231170410869
2,1,0.5280898876404494,0.5340909090909091,0.9791666666666666,0.601512417622271
2,2,0.8444444444444444,0.875,0.84,0.9310255315569269
2,3,0.7419354838709677,0.8181818181818182,0.6923076923076923,0.8696423271197019
2,4,0.7211538461538461,0.6853932584269663,0.9838709677419355,0.7915284078521754


